Cues	Outcomes
=_q_=_b_ow_t_word_aboutness	ness
v_q_=_b_=_l_word_achievability	ity
sh_=_n_n_q_l_word_additionality	ity
d_i_=_t_i_v_word_additivity	ity
s_q_=_b_=_l_word_addressability	ity
b_q_=_b_=_l_word_adsorbability	ity
z_or_p_t_i_v_word_adsorptivity	ity
l_a_=_st_i_k_word_aeroelasticity	ity
f_e_kt_l_q_s_word_affectlessness	ness
d_q_=_b_=_l_word_affordability	ity
fr_i_=_k_q_n_word_Africanity	ity
=_q_=_g_e_nst_word_againstness	ness
dzh_q_n_t_i_v_word_agentivity	ity
g_q_=_b_=_l_word_aggregability	ity
gr_e_=_s_i_v_word_aggressivity	ity
w_ur_=_th_y_=_word_airworthiness	ness
l_i_=_=_q_n_word_alienness	ness
dzh_e_=_n_i_k_word_allergenicity	ity
=_i_=_my_oo_n_word_alloimmunity	ity
dzh_i_=_k_=_l_word_alogicality	ity
z_q_=_b_=_l_word_analysability	ity
l_i_=_t_i_k_word_analyticity	ity
r_q_=_b_=_l_word_answerability	ity
r_i_=_=_q_l_word_arboreality	ity
=_=_=_=_a_r_bound_arity	ity
m_a_=_t_i_k_word_aromaticity	ity
=_ay_=_zh_q_n_word_Asianness	ness
=_a_z_s_u_tsh_phrase_as-suchness	ness
l_i_=_=_q_n_word_Australianness	ness
v_q_=_r_i_dzh_word_averageness	ness
w_ay_=_k_i_d_word_awakedness	ness
r_q_=_b_=_l_word_bearability	ity
b_i_=_y_o_nd_word_beyondness	ness
by_u_=_l_q_s_word_bibulosity	ity
d_q_=_b_=_l_word_biddability	ity
l_i_ng_gw_=_l_word_bilinguality	ity
m_oh_=_d_=_l_word_bimodality	ity
d_q_=_b_=_l_word_biodegradability	ity
l_e_k_tr_i_k_word_bioelectricity	ity
dzh_e_=_n_i_k_word_biogenicity	ity
t_oh_=_n_=_l_word_bitonality	ity
bl_oh_=_k_i_sh_word_blokeishness	ness
bl_ur_=_r_y_=_word_blurriness	ness
b_oh_=_g_q_s_word_bogusness	ness
th_q_=_b_=_l_word_breathability	ity
b_u_l_b_q_s_word_bulbosity	ity
k_a_=_t_y_=_word_cattiness	ness
fy_oo_=_g_=_l_word_centrifugality	ity
s_i_=_t_i_v_word_chemosensitivity	ity
kl_or_=_r_i_n_word_chlorinity	ity
kl_ah_s_l_q_s_word_classlessness	ness
kl_oh_=_n_=_l_word_clonality	ity
b_q_=_b_=_l_word_clubbableness	ness
d_q_=_b_=_l_word_codability	ity
g_q_=_b_=_l_word_colligability	ity
k_q_=_b_=_l_word_collocability	ity
b_q_=_t_i_v_word_combativity	ity
t_ay_=_t_i_v_word_commutativeness	ness
t_q_=_t_i_v_word_commutativity	ity
t_q_=_t_i_=_word_complementarity	ity
p_u_l_s_i_v_word_compulsiveness	ness
r_q_d_l_y_=_word_comradeliness	ness
m_q_=_b_=_l_word_confirmability	ity
l_q_=_b_=_l_word_congealability	ity
dzh_u_ngk_t_i_v_word_conjunctiveness	ness
t_q_=_b_=_l_word_connectibility	ity
m_i_=_n_q_s_word_conterminousness	ness
l_q_=_b_=_l_word_controllability	ity
k_or_=_n_y_=_word_corniness	ness
kr_a_=_k_i_d_word_crackedness	ness
w_ur_=_th_y_=_word_crashworthiness	ness
k_u_=_p_y_=_word_cuppiness	ness
t_o_k_s_i_k_word_cytotoxicity	ity
=_=_=_d_a_b_word_dabbity	ity
d_a_=_sh_i_ng_word_dashingness	ness
d_ay_=_t_i_d_word_datedness	ness
d_e_f_bl_eye_nd_word_deafblindness	ness
d_q_=_b_=_l_word_decidability	ity
m_ah_n_dr_i_ng_word_demandingness	ness
