Cues	Outcomes
q_b_ow_t_word_aboutness	ness
v_q_b_l_word_achievability	ity
sh_n_n_q_l_word_additionality	ity
d_i_t_i_v_word_additivity	ity
s_q_b_l_word_addressability	ity
b_q_b_l_word_adsorbability	ity
z_or_p_t_i_v_word_adsorptivity	ity
l_a_st_i_k_word_aeroelasticity	ity
f_e_kt_l_q_s_word_affectlessness	ness
d_q_b_l_word_affordability	ity
fr_i_k_q_n_word_Africanity	ity
q_g_e_nst_word_againstness	ness
dzh_q_n_t_i_v_word_agentivity	ity
g_q_b_l_word_aggregability	ity
gr_e_s_i_v_word_aggressivity	ity
w_ur_th_y_word_airworthiness	ness
l_i_q_n_word_alienness	ness
dzh_e_n_i_k_word_allergenicity	ity
i_my_oo_n_word_alloimmunity	ity
dzh_i_k_l_word_alogicality	ity
z_q_b_l_word_analysability	ity
l_i_t_i_k_word_analyticity	ity
r_q_b_l_word_answerability	ity
r_i_q_l_word_arboreality	ity
a_r_bound_arity	ity
m_a_t_i_k_word_aromaticity	ity
ay_zh_q_n_word_Asianness	ness
a_z_s_u_tsh_phrase_as-suchness	ness
l_i_q_n_word_Australianness	ness
v_q_r_i_dzh_word_averageness	ness
w_ay_k_i_d_word_awakedness	ness
r_q_b_l_word_bearability	ity
b_i_y_o_nd_word_beyondness	ness
by_u_l_q_s_word_bibulosity	ity
d_q_b_l_word_biddability	ity
l_i_ng_gw_l_word_bilinguality	ity
m_oh_d_l_word_bimodality	ity
d_q_b_l_word_biodegradability	ity
l_e_k_tr_i_k_word_bioelectricity	ity
dzh_e_n_i_k_word_biogenicity	ity
t_oh_n_l_word_bitonality	ity
bl_oh_k_i_sh_word_blokeishness	ness
bl_ur_r_y_word_blurriness	ness
b_oh_g_q_s_word_bogusness	ness
th_q_b_l_word_breathability	ity
b_u_l_b_q_s_word_bulbosity	ity
k_a_t_y_word_cattiness	ness
fy_oo_g_l_word_centrifugality	ity
s_i_t_i_v_word_chemosensitivity	ity
kl_or_r_i_n_word_chlorinity	ity
kl_ah_s_l_q_s_word_classlessness	ness
kl_oh_n_l_word_clonality	ity
b_q_b_l_word_clubbableness	ness
d_q_b_l_word_codability	ity
g_q_b_l_word_colligability	ity
k_q_b_l_word_collocability	ity
b_q_t_i_v_word_combativity	ity
t_ay_t_i_v_word_commutativeness	ness
t_q_t_i_v_word_commutativity	ity
t_q_t_i_word_complementarity	ity
p_u_l_s_i_v_word_compulsiveness	ness
r_q_d_l_y_word_comradeliness	ness
m_q_b_l_word_confirmability	ity
l_q_b_l_word_congealability	ity
dzh_u_ngk_t_i_v_word_conjunctiveness	ness
t_q_b_l_word_connectibility	ity
m_i_n_q_s_word_conterminousness	ness
l_q_b_l_word_controllability	ity
k_or_n_y_word_corniness	ness
kr_a_k_i_d_word_crackedness	ness
w_ur_th_y_word_crashworthiness	ness
k_u_p_y_word_cuppiness	ness
t_o_k_s_i_k_word_cytotoxicity	ity
d_a_b_word_dabbity	ity
d_a_sh_i_ng_word_dashingness	ness
d_ay_t_i_d_word_datedness	ness
d_e_f_bl_eye_nd_word_deafblindness	ness
d_q_b_l_word_decidability	ity
m_ah_n_dr_i_ng_word_demandingness	ness
r_q_b_l_word_denumerability	ity
d_q_b_l_word_dependability	ity
pr_e_s_i_ng_word_depressingness	ness
str_u_k_t_i_v_word_destructivity	ity
q_b_l_word_deviability	ity
sh_iq_b_l_word_differentiability	ity
r_e_k_t_i_d_word_directedness	ness
sh_q_n_l_word_directionality	ity
r_e_k_t_i_v_word_directivity	ity
n_q_b_l_word_discriminability	ity
k_ur_s_i_v_word_discursivity	ity
p_ur_s_i_v_word_dispersivity	ity
